dataset,model,fairness_level,group,selection_rate,tpr,fpr
gmsc,RandomForest,0.5,younger,0.029713329148357396,0.17117117117117117,0.0132024769248744
gmsc,RandomForest,0.75,older,0.011887290871734664,0.13817097415506957,0.005350895245935378
gmsc,RandomForest,0.75,younger,0.03232893910860012,0.17517517517517517,0.01565603458347938
gmsc,RandomForest,1.0,older,0.011936209764210939,0.13618290258449303,0.005505247993414283
gmsc,RandomForest,1.0,younger,0.03149194392132245,0.16616616616616617,0.015772870662460567
gmsc,GradientBoosting,0.0,older,0.014137559925643283,0.17296222664015903,0.005916855320024696
gmsc,GradientBoosting,0.0,younger,0.04059426658296715,0.22922922922922923,0.018576936558009113
gmsc,GradientBoosting,0.25,older,0.01521377556012132,0.17693836978131214,0.006842971804898127
gmsc,GradientBoosting,0.25,younger,0.03274743670223896,0.1941941941941942,0.013903493398761537
gmsc,GradientBoosting,0.5,older,0.016828099011838373,0.19284294234592445,0.007717637373945256
gmsc,GradientBoosting,0.5,younger,0.02929483155471856,0.17717717717717718,0.012034116135062507
gmsc,GradientBoosting,0.75,older,0.016436747872028177,0.19284294234592445,0.0073060300473348425
gmsc,GradientBoosting,0.75,younger,0.030131826741996232,0.17617617617617617,0.013085640845893212
gmsc,GradientBoosting,1.0,older,0.015654045592407788,0.18986083499005965,0.00663716814159292
gmsc,GradientBoosting,1.0,younger,0.03358443188951663,0.1931931931931932,0.014955018109592242
gmsc,EBM,0.0,older,0.015262694452597593,0.1848906560636183,0.006482815394114015
gmsc,EBM,0.0,younger,0.03944339820046035,0.22022022022022023,0.018343264400046733
gmsc,EBM,0.25,older,0.015751883377360335,0.1878727634194831,0.006842971804898127
gmsc,EBM,0.25,younger,0.03494454906884285,0.19519519519519518,0.016240214978385327
gmsc,EBM,0.5,older,0.01580080226983661,0.18886679920477137,0.006842971804898127
gmsc,EBM,0.5,younger,0.035781544256120526,0.1991991991991992,0.016707559294310084
gmsc,EBM,0.75,older,0.015702964484884063,0.18687872763419483,0.006842971804898127
gmsc,EBM,0.75,younger,0.0354676710608914,0.19519519519519518,0.016824395373291272
gmsc,EBM,1.0,older,0.015702964484884063,0.18588469184890655,0.006894422720724429
gmsc,EBM,1.0,younger,0.03515379786566227,0.1961961961961962,0.016357051057366515
gmsc,XGBoost,0.0,older,0.014626748850406027,0.18290258449304175,0.005916855320024696
gmsc,XGBoost,0.0,younger,0.0389202762084118,0.22822822822822822,0.016824395373291272
gmsc,XGBoost,0.25,older,0.015360532237550142,0.18588469184890655,0.006534266309940317
gmsc,XGBoost,0.25,younger,0.033375183092697214,0.1971971971971972,0.014254001635705105
gmsc,XGBoost,0.5,older,0.015018099990216222,0.18389662027833,0.006277011730808808
gmsc,XGBoost,0.5,younger,0.03463067587361373,0.20520520520520522,0.014721345951629864
gmsc,XGBoost,0.75,older,0.014822424420311123,0.18190854870775347,0.006174109899156205
gmsc,XGBoost,0.75,younger,0.034002929483155475,0.1981981981981982,0.014838182030611052
gmsc,XGBoost,1.0,older,0.015262694452597593,0.1878727634194831,0.00632846264663511
gmsc,XGBoost,1.0,younger,0.03515379786566227,0.2042042042042042,0.015422362425517
