dataset,model,fairness_level,cv_mean_accuracy,cv_std_accuracy,cv_ci_accuracy_low,cv_ci_accuracy_high,cv_mean_auc,cv_std_auc,cv_ci_auc_low,cv_ci_auc_high,cv_mean_f1,cv_std_f1,cv_ci_f1_low,cv_ci_f1_high,test_accuracy,auc,f1,dp_diff,eo_diff,disparate_impact
australian,RandomForest,0.25,0.8804914004914004,0.020232668902875166,0.862756684262435,0.8982261167203658,0.8785832137191205,0.016210726865868774,0.8643738851223087,0.8927925423159323,0.8657390508042682,0.01877975560602639,0.8492778692309924,0.882200232377544,0.8115942028985508,0.8192463274430488,0.803030303030303,0.059551886792452824,0.049090909090909074,0.8888888888888888
australian,RandomForest,0.5,0.8605405405405404,0.019470390188278425,0.8434739910648417,0.8776070900162392,0.8687806041507031,0.019053975063057355,0.8520790586255309,0.8854821496758754,0.8390063900800018,0.022454896593876422,0.8193238053970404,0.8586889747629631,0.8043478260869565,0.8240366191185863,0.8,0.006485849056603765,0.14,0.8888888888888888
australian,RandomForest,0.75,0.8677968877968878,0.017173296941646373,0.852743829328038,0.8828499462657375,0.8708622368037643,0.018115559096738676,0.8549832491402011,0.8867412244673275,0.8503902304916476,0.015463102112035073,0.8368362238851594,0.8639442370981358,0.8115942028985508,0.8175431126250798,0.8059701492537313,0.002948113207547176,0.14,0.8888888888888888
australian,RandomForest,1.0,0.8714168714168714,0.01929359777854971,0.854505287320828,0.8883284555129148,0.878664846372182,0.027888873809367946,0.8542191706519472,0.9031105220924168,0.8550029034377362,0.019686069669149518,0.8377473025616503,0.8722585043138221,0.8405797101449275,0.8534170747285501,0.8307692307692308,0.08136792452830188,0.029090909090909056,0.8888888888888888
australian,GradientBoosting,0.0,0.8587551187551188,0.019258417219125183,0.8418743717790403,0.8756358657311972,0.9331503685556719,0.015552700429960832,0.9195178255607995,0.9467829115505443,0.8423327415032485,0.01815936465210663,0.8264153565774441,0.858250126429053,0.8260869565217391,0.9178198850329997,0.8125,0.02181603773584906,0.18000000000000005,0.8888888888888888
australian,GradientBoosting,0.25,0.8642260442260442,0.024931977680047773,0.8423722022388552,0.8860798862132332,0.8610790533029711,0.023735242153024874,0.8402741962556709,0.8818839103502712,0.8475415429329626,0.026398787159537994,0.8244019857489505,0.8706811001169746,0.8043478260869565,0.827123695976155,0.7906976744186046,0.03125,0.19999999999999996,0.8888888888888888
australian,GradientBoosting,0.5,0.8623587223587222,0.01927016861281772,0.8454676748319141,0.8792497698855304,0.8602232271015229,0.023681283506354876,0.8394656668933785,0.8809807873096672,0.8442302330991446,0.020985758600127913,0.8258354046457441,0.862625061552545,0.8188405797101449,0.8141366829891419,0.8062015503875969,0.03125,0.18000000000000005,0.8888888888888888
australian,GradientBoosting,0.75,0.8587714987714987,0.02992826675952694,0.8325382163136633,0.8850047812293341,0.85288934696036,0.031057484595066673,0.8256662614285891,0.8801124324921309,0.8421250500959616,0.027391198929161045,0.8181156056419587,0.8661344945499645,0.8043478260869565,0.8124334681711731,0.7906976744186046,0.07193396226415094,0.08909090909090911,0.8888888888888888
australian,GradientBoosting,1.0,0.8551351351351351,0.02823702939883836,0.8303842875854978,0.8798859826847724,0.8549709796134213,0.02722565100037146,0.8311066443169631,0.8788353149098794,0.8363104980126256,0.029624544069952508,0.8103434402302275,0.8622775557950236,0.7971014492753623,0.8076431764956356,0.7878787878787878,0.059551886792452824,0.18000000000000005,0.8888888888888888
australian,EBM,0.0,0.875053235053235,0.019173594571860807,0.8582468384056399,0.89185963170083,0.9381019005169492,0.015578859226653018,0.9244464283258124,0.951757372708086,0.8622555156783962,0.020906978099357976,0.8439297413785648,0.8805812899782276,0.8260869565217391,0.9359165424739195,0.8208955223880597,0.037735849056603765,0.12,0.8888888888888888
australian,EBM,0.25,0.8641605241605241,0.015283046850703823,0.8507643429492209,0.8775567053718274,0.8638963727214841,0.022032365919370918,0.8445841525043458,0.8832085929386224,0.8487720612720612,0.012715176194727638,0.8376267179316803,0.859917404612442,0.8405797101449275,0.8486267830530125,0.835820895522388,0.0784198113207547,0.09999999999999998,0.8888888888888888
australian,EBM,0.5,0.8623751023751023,0.01554091550674758,0.8487528893208803,0.8759973154293242,0.863107803883055,0.018657853760529412,0.8467534739885197,0.8794621337775902,0.8463131868131868,0.015089240524112538,0.8330868843372088,0.8595394892891648,0.8260869565217391,0.8486267830530125,0.8208955223880597,0.037735849056603765,0.12,0.8888888888888888
australian,EBM,0.75,0.8714168714168714,0.020263278602943514,0.8536553246028176,0.8891784182309252,0.8675500922738211,0.020748581064980127,0.8493631590962205,0.8857370254514216,0.8580607646321932,0.019150345567604723,0.841274746635337,0.8748467826290494,0.8405797101449275,0.8404300617415371,0.835820895522388,0.11910377358490565,0.10714285714285715,0.8888888888888888
australian,EBM,1.0,0.8678296478296478,0.02388608552278068,0.8468925707390857,0.8887667249202098,0.8692302528626469,0.027921665276526727,0.8447558341541497,0.8937046715711441,0.854212573876786,0.02228236990447695,0.8346812155047533,0.8737439322488186,0.8333333333333334,0.8421332765595062,0.8296296296296296,0.047169811320754707,0.09999999999999998,0.8888888888888888
australian,XGBoost,0.0,0.8642260442260443,0.03141390784347314,0.8366905399422918,0.8917615485097968,0.9311275537184731,0.013322814814321357,0.9194495916444994,0.9428055157924469,0.8485009247630841,0.031072538267813112,0.821264644105369,0.8757372054207992,0.8695652173913043,0.9359165424739195,0.8615384615384616,0.04068396226415094,0.09999999999999998,0.8888888888888888
australian,XGBoost,0.25,0.856969696969697,0.03168605044342985,0.8291956491795385,0.8847437447598556,0.8485022501861664,0.028089335696832026,0.8238808618742827,0.8731236384980502,0.8379644186153273,0.033184477447052774,0.8088769416465152,0.8670518955841394,0.8695652173913043,0.8599105812220565,0.8615384615384616,0.04068396226415094,0.09999999999999998,0.8888888888888888
australian,XGBoost,0.5,0.8442588042588042,0.022935064733326155,0.8241553336444706,0.8643622748731378,0.858304859754584,0.03259815885304965,0.8297313136929758,0.8868784058161923,0.8203839436575237,0.02810782238333017,0.795746351050466,0.8450215362645813,0.8768115942028986,0.8746008090270386,0.8682170542635659,0.07193396226415094,0.09999999999999998,0.8888888888888888
